Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
190645:2486,76,472913.070532,"[10-16], [31-86], [98-110]",412477.755461
190646:2486,88,506394.593773,[22-109],454631.436786
190659:2488,116,1863847.53334,"[33-33], [45-106], [115-167]",1830618.47337
190679:2489,55,882343.548028,[1-55],816974.949066
190688:2490,104,2518229.83217,"[84-84], [91-91], [105-111], [117-126], [128-140], [161-200], [206-231], [237-241], [247-247]",2455236.25857
190702:2491,81,4365227.94349,"[58-73], [90-91], [93-95], [97-109], [112-122], [124-134], [139-140], [143-146], [149-164], [167-169]",3830446.13248
190703:2491,170,8251035.97464,"[7-7], [9-10], [12-32], [34-43], [46-51], [53-55], [60-65], [70-71], [79-82], [87-90], [94-99], [102-107], [111-117], [119-120], [123-127], [131-132], [134-143], [146-147], [152-157], [160-161], [164-177], [180-181], [184-197], [202-204], [208-209], [213-220], [223-223], [226-227], [229-232], [234-235], [238-244], [246-247], [250-251]",7881169.02856
190704:2491,3,135182.400769,[1-3],28861.466475
190705:2491,313,12603000.0251,"[1-3], [7-7], [10-10], [13-17], [19-26], [30-40], [44-65], [81-99], [101-144], [154-158], [162-164], [169-169], [172-175], [177-185], [187-190], [192-192], [195-206], [210-222], [225-253], [256-256], [258-268], [270-321], [323-330], [334-336], [338-345], [347-350], [353-383]",12288190.7013
190706:2491,120,4196732.0131,"[1-102], [109-126]",4018328.71193
190707:2491,225,7146533.43244,"[1-30], [32-63], [67-78], [84-92], [97-105], [110-162], [165-205], [210-221], [225-237], [239-245], [249-252], [255-257]",6910502.25637
190708:2491,181,5059979.35075,"[1-80], [85-88], [92-97], [99-189]",4890830.03066
190733:2493,372,18869374.5624,"[81-86], [89-96], [99-269], [272-389], [392-460]",18396928.9869
190736:2493,145,6260830.05328,"[4-9], [12-13], [15-18], [22-30], [32-43], [47-50], [52-53], [58-60], [63-64], [67-68], [71-72], [75-75], [77-77], [83-92], [94-97], [101-111], [113-121], [124-125], [127-185]",6081140.94157
190738:2493,287,10956420.0334,"[1-64], [70-89], [92-117], [120-130], [133-141], [146-154], [158-178], [180-196], [203-218], [222-226], [229-245], [247-248], [250-250], [252-255], [262-264], [266-269], [272-275], [279-281], [285-297], [303-308], [315-331], [335-349]",10698585.2197
190782:2497,318,17294750.3039,"[55-71], [74-75], [77-77], [81-90], [95-109], [112-121], [123-123], [125-137], [139-157], [159-163], [165-165], [167-177], [179-181], [184-184], [189-192], [195-202], [207-209], [212-233], [236-381], [383-399], [401-409]",16951291.4887
190895:2500,508,21111757.956,"[80-83], [86-87], [90-91], [94-103], [106-107], [109-109], [111-115], [117-117], [119-121], [124-125], [129-130], [137-138], [147-150], [155-156], [161-162], [165-168], [175-176], [179-182], [185-188], [193-194], [197-198], [213-214], [217-223], [225-225], [232-235], [238-239], [245-248], [251-255], [257-257], [260-261], [265-271], [273-274], [280-281], [288-288], [293-296], [299-302], [311-312], [315-318], [325-335], [341-354], [358-360], [364-369], [373-376], [379-380], [387-389], [393-398], [401-410], [413-418], [420-423], [426-427], [433-438], [440-441], [449-463], [467-477], [483-493], [496-497], [502-511], [514-515], [518-519], [522-535], [539-547], [550-552], [559-571], [576-580], [592-600], [603-604], [606-606], [609-609], [628-640], [642-642], [646-647], [651-672], [676-684], [688-693], [697-697], [701-712], [716-717], [721-721], [724-726], [730-732], [739-741], [745-750], [754-754], [756-757], [761-761], [764-765], [769-774], [778-780], [787-816], [820-822], [829-834], [838-843], [847-853], [858-860], [862-871], [880-883], [899-902], [911-918], [922-941], [946-948]",20852771.0921
190906:2501,329,15632358.4041,"[73-101], [103-110], [113-122], [125-128], [131-140], [143-143], [145-146], [148-148], [152-152], [154-155], [158-159], [162-165], [168-176], [178-178], [180-202], [207-208], [214-216], [218-225], [228-236], [239-248], [251-256], [259-272], [275-276], [278-278], [280-287], [290-291], [294-321], [324-337], [340-344], [346-347], [350-354], [356-359], [361-364], [371-371], [379-386], [388-398], [402-413], [415-416], [419-427], [429-432], [435-449], [453-471], [475-481], [490-496]",15329150.3014
190945:2505,84,4466195.88828,[124-207],4309178.32568
190949:2505,71,2917363.9491,"[1-9], [13-18], [22-22], [24-48], [50-63], [66-81]",2656206.65433
191043:2508,2,140568.818581,[45-46],60437.2510177
191046:2508,194,12378836.1732,"[1-6], [9-10], [13-21], [24-24], [26-31], [33-60], [62-66], [68-82], [84-88], [92-92], [95-116], [120-121], [124-124], [127-149], [152-154], [156-158], [162-174], [179-179], [183-183], [185-186], [188-200], [203-212], [215-216], [218-234], [237-239]",11480330.3277
191056:2508,10,588707.78219,"[1-1], [4-9], [16-17], [19-19]",259775.4874
191057:2508,38,2186391.23365,"[1-1], [4-40]",2111140.28069
191062:2508,419,20662960.9324,"[1-1], [3-3], [5-12], [15-34], [38-38], [42-45], [48-55], [58-60], [63-66], [69-78], [81-84], [87-92], [97-99], [102-106], [109-114], [117-132], [135-136], [139-140], [143-146], [149-150], [153-164], [166-166], [168-171], [173-174], [180-187], [190-190], [194-195], [198-201], [204-209], [212-214], [216-221], [226-231], [236-237], [240-243], [245-250], [254-261], [264-282], [284-284], [291-291], [293-300], [303-308], [310-313], [316-317], [320-321], [324-333], [336-351], [354-355], [358-382], [385-441], [444-445], [450-452], [456-473], [478-496], [500-502], [505-506], [508-541]",20329863.7522
191090:2509,48,1647908.65687,"[1-11], [13-20], [22-23], [28-28], [30-55]",1461199.33967
191201:2511,33,2869332.00431,"[38-43], [46-49], [52-53], [55-57], [59-59], [62-64], [66-79]",2752468.82319
191202:2511,82,6363751.5673,"[1-15], [17-18], [20-21], [23-24], [26-30], [32-40], [42-43], [46-61], [64-64], [66-66], [89-105], [108-110], [112-118]",5873814.60592
191226:2513,930,55730318.8259,"[77-78], [89-89], [91-91], [97-99], [101-102], [111-112], [114-117], [119-120], [122-124], [127-134], [137-138], [140-141], [144-144], [146-148], [151-152], [154-162], [167-167], [169-169], [172-172], [175-175], [177-179], [182-183], [188-190], [193-194], [196-197], [200-201], [203-204], [206-206], [208-212], [214-215], [220-220], [222-223], [226-226], [228-235], [237-237], [240-240], [242-242], [245-245], [247-248], [250-255], [257-262], [264-264], [266-267], [269-277], [280-282], [284-286], [289-292], [294-297], [299-301], [303-304], [306-316], [318-321], [323-326], [331-337], [339-342], [345-355], [357-357], [359-366], [368-377], [379-382], [384-384], [386-390], [392-398], [400-400], [402-402], [405-406], [408-410], [415-415], [417-419], [425-427], [430-431], [434-435], [439-440], [442-445], [447-460], [465-465], [468-469], [471-480], [483-483], [485-485], [487-487], [490-493], [498-498], [500-500], [502-502], [505-508], [512-513], [516-520], [523-531], [537-537], [539-540], [543-545], [547-547], [549-550], [556-556], [558-561], [565-571], [573-584], [586-586], [588-589], [591-600], [602-614], [616-627], [629-640], [643-647], [650-654], [656-659], [661-661], [666-666], [669-669], [672-673], [698-698], [702-704], [715-717], [723-723], [726-730], [733-736], [738-738], [742-742], [745-745], [747-750], [752-753], [755-756], [759-765], [769-771], [773-774], [776-778], [781-781], [784-784], [806-806], [808-816], [818-819], [821-822], [831-831], [839-839], [841-843], [845-845], [847-847], [849-867], [872-881], [883-887], [897-900], [904-904], [906-908], [911-915], [917-921], [923-926], [928-937], [939-940], [942-949], [951-951], [953-954], [959-960], [965-969], [972-972], [974-974], [984-987], [991-996], [1001-1001], [1003-1007], [1012-1014], [1019-1024], [1027-1032], [1041-1042], [1049-1058], [1061-1076], [1078-1083], [1087-1087], [1098-1100], [1103-1104], [1107-1114], [1117-1118], [1121-1130], [1135-1136], [1144-1145], [1150-1155], [1158-1159], [1164-1165], [1176-1177], [1192-1193], [1198-1199], [1206-1207], [1212-1219], [1224-1225], [1228-1229], [1232-1239], [1244-1245], [1261-1261], [1263-1266], [1268-1269], [1277-1278], [1287-1290], [1299-1300], [1305-1316], [1319-1322], [1325-1326], [1329-1330], [1339-1340], [1343-1344], [1357-1362], [1369-1370], [1373-1374], [1377-1380], [1383-1385], [1396-1397], [1400-1401], [1404-1407], [1414-1432], [1434-1454], [1456-1466], [1469-1472], [1474-1476], [1485-1488], [1493-1500], [1503-1507], [1510-1528], [1532-1535], [1538-1543], [1548-1549], [1554-1554], [1557-1561], [1564-1585], [1588-1589], [1592-1596], [1600-1600], [1605-1605], [1612-1615], [1620-1621], [1626-1627], [1630-1634], [1637-1640], [1645-1646], [1653-1657], [1661-1662], [1666-1675], [1682-1683]",54998044.7121
