Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
193834:2605,35,997218.863452,[1-35],988082.555479
193835:2605,25,692964.24248,"[1-20], [22-26]",648533.50717
193836:2605,2,54625.1312344,[1-2],53583.3623746
193998:2616,212,19476419.5777,"[66-113], [115-278]",19188740.1972
193999:2616,45,3643341.22242,[1-45],3610680.23141
194027:2617,57,5205772.03429,[57-113],5142641.25029
194050:2621,1801,112058660.95,"[53-113], [116-273], [275-355], [357-369], [372-391], [394-490], [492-814], [816-1435], [1437-1735], [1760-1888]",110382865.035
194051:2621,12,500654.574946,[1-12],489242.725699
194052:2621,164,6637340.98939,"[1-99], [102-166]",6582577.34145
194075:2623,60,5624828.12472,"[48-101], [103-103], [105-107], [109-109], [111-111]",4910468.77391
194076:2623,734,54601984.6928,"[1-9], [11-55], [58-163], [165-228], [230-264], [267-507], [509-527], [530-538], [541-562], [565-748]",54115005.9571
194108:2624,778,62451441.1143,"[81-161], [164-264], [266-373], [376-396], [398-433], [436-452], [454-577], [579-590], [593-668], [671-872]",61658168.055
194115:2627,700,55058560.5422,"[66-184], [186-338], [340-346], [348-493], [496-731], [819-857]",53347771.2651
194117:2627,38,2316833.27387,[1-38],2276835.42494
194119:2627,258,14739314.4219,"[1-7], [9-229], [232-261]",14634429.1412
194120:2627,400,19184283.3111,"[1-21], [24-25], [28-162], [165-406]",19052445.8217
194150:2628,267,27077463.5855,"[42-127], [129-261], [264-311]",26673320.2324
194151:2628,570,41334230.4999,"[47-72], [75-191], [193-238], [240-617], [619-619], [621-621], [623-623]",40788293.7874
194153:2628,115,7075443.59138,[1-115],6994462.03611
194199:2629,304,27241396.469,"[96-227], [229-336], [339-402]",26920059.6604
194210:2629,546,39116002.762,"[3-195], [198-217], [220-359], [361-363], [365-437], [439-555]",38791152.6522
194223:2630,52,6452162.41631,[61-112],6159871.33166
194224:2630,401,42635425.6957,"[1-84], [86-98], [100-126], [129-206], [208-250], [253-309], [312-386], [389-412]",41961449.8104
194225:2630,144,12869024.4932,"[1-23], [26-47], [49-85], [88-149]",12740084.6595
194270:2632,13,1451034.966,[56-68],1428510.33116
194303:2634,45,5275675.14914,"[56-66], [69-102]",5054666.75047
194304:2634,44,4938099.70161,"[1-43], [46-46]",4798473.90957
194305:2634,84,8765337.2003,[1-84],8578147.39481
194314:2635,247,28730474.6937,"[52-130], [133-300]",28128802.4843
194315:2635,455,41862290.0192,"[1-10], [13-258], [260-314], [317-330], [332-373], [375-391], [393-428], [431-452], [455-467]",41333545.01
194317:2635,20,1542775.63909,[1-20],1465884.78313
194424:2644,632,67915806.2416,"[63-141], [144-195], [198-266], [268-421], [424-478], [481-531], [534-553], [556-706], [708-708]",66676409.3204
194428:2644,460,36241965.8455,"[1-85], [87-113], [115-122], [125-294], [296-465]",35908626.7307
194429:2644,1009,56616664.7706,"[1-4], [7-54], [57-147], [150-411], [413-742], [745-986], [988-1019]",56208076.9488
194439:2645,60,8126238.58368,"[46-77], [79-106]",7776547.98248
194455:2646,219,27802052.2991,"[45-64], [67-140], [142-255], [293-303]",27078470.5511
194464:2646,206,22252316.4611,"[1-127], [130-142], [145-210]",21855101.0594
194479:2646,435,37141890.9763,"[1-44], [165-232], [235-262], [265-374], [377-431], [434-489], [492-529], [531-566]",36722366.3764
194480:2646,1373,81116740.489,"[1-32], [34-183], [186-190], [192-205], [207-309], [311-375], [377-387], [389-422], [424-759], [762-956], [959-1133], [1138-1151], [1154-1197], [1200-1283], [1286-1287], [1290-1355], [1358-1375], [1378-1402]",80522647.2652
194533:2648,821,77403798.1469,"[46-379], [382-415], [417-433], [435-601], [603-618], [620-872]",76440375.7963
194619:2649,80,10158183.9487,[31-110],9917198.46386
194631:2649,219,24575422.7189,"[1-42], [44-100], [102-169], [171-222]",23744746.6455
194643:2649,287,27918577.2984,[1-287],27443544.9412
194644:2649,414,33423132.7622,"[1-124], [126-168], [171-181], [184-185], [187-319], [321-421]",33136569.7472
194691:2651,241,29040703.3629,"[61-104], [107-155], [158-251], [254-268], [271-272], [275-289], [292-313]",28160228.3778
194699:2651,247,22886741.0254,"[1-30], [32-52], [55-64], [67-71], [73-154], [157-215], [218-238], [241-259]",22557026.3814
194702:2651,189,15688964.3524,"[1-138], [141-191]",15526046.8157
194704:2651,588,41251867.259,"[1-41], [44-545], [548-592]",40877778.1142
194711:2651,618,34468014.7761,"[1-7], [9-619]",34174758.7428
194712:2651,753,34067741.7667,"[1-56], [61-418], [420-625], [627-759]",33840181.2059
194735:2653,83,10234633.0465,"[44-71], [74-101], [104-130]",9927073.02949
194778:2657,159,19469804.1467,"[60-118], [120-219]",18835338.6666
194789:2657,552,52739430.3156,"[1-18], [21-32], [34-80], [82-166], [168-269], [272-405], [409-414], [417-427], [430-566]",52083017.2807
194790:2657,45,3623643.04911,[1-45],3538586.49659
194825:2658,147,19273241.8336,"[72-117], [120-122], [124-221]",18613736.0827
194896:2660,65,8880564.62563,"[34-49], [51-55], [58-79], [82-103]",8420006.90674
194897:2660,99,12628004.6886,"[1-6], [8-78], [80-96], [98-102]",12300343.5241
194912:2663,1570,154333107.913,"[53-70], [72-96], [98-444], [446-450], [453-467], [470-561], [564-626], [628-660], [663-762], [764-810], [812-813], [815-825], [827-840], [843-847], [849-859], [861-864], [866-1004], [1007-1025], [1027-1067], [1069-1137], [1140-1166], [1168-1249], [1251-1304], [1307-1383], [1385-1404], [1406-1444], [1447-1487], [1489-1503], [1506-1522], [1524-1550], [1552-1662]",151089117.828
194914:2663,38,2475028.01354,[1-38],2438635.90664
194915:2663,74,4665217.47571,[1-74],4623813.56125
195013:2669,437,56397496.7998,"[94-144], [146-185], [187-206], [208-299], [302-324], [326-366], [369-447], [450-526], [528-541]",54760195.2527
195014:2669,145,15550807.5362,"[1-6], [9-119], [121-148]",15377974.708
195015:2669,13,1321119.70737,[1-13],1199879.12469
195016:2669,552,48739270.9565,"[1-21], [23-55], [58-63], [65-174], [177-184], [186-241], [243-246], [248-251], [254-367], [370-422], [425-560], [563-569]",48230193.6442
195099:2670,171,24557735.5829,"[70-144], [147-186], [189-208], [211-224], [227-248]",23784695.8702
195109:2671,142,19966973.5018,"[98-158], [160-236], [238-241]",19325521.1677
195112:2671,24,2863484.28433,"[1-12], [15-26]",2451666.0652
195113:2671,568,57984081.2522,"[1-105], [107-209], [212-388], [391-403], [406-419], [422-492], [495-579]",57053556.4075
195114:2671,101,8711606.24902,"[1-69], [72-103]",8558464.89144
195115:2671,20,1623340.06112,"[1-7], [10-22]",1605245.56589
195147:2673,415,53573455.0036,"[132-155], [157-282], [285-294], [297-331], [334-363], [366-442], [445-536], [539-559]",52269931.899
195163:2675,269,37023055.2571,"[72-138], [140-224], [227-240], [243-243], [246-347]",35768839.32
195164:2675,64,7954621.61699,[1-64],7781002.80486
195165:2675,257,28920983.2197,"[1-4], [7-41], [44-54], [56-153], [156-260], [263-266]",28434669.3664
195251:2683,236,31400091.4143,"[1-131], [134-137], [140-152], [154-165], [167-242]",30543874.7119
195303:2686,295,39386478.1179,"[109-191], [194-277], [280-310], [312-316], [318-409]",37829397.4404
195304:2686,1206,108824617.129,"[1-3], [6-22], [27-80], [83-100], [103-154], [157-341], [344-588], [590-727], [729-1003], [1006-1079], [1083-1140], [1143-1229]",107741430.126
195378:2691,1029,100813412.21,"[90-117], [120-127], [130-185], [187-204], [206-302], [305-542], [544-565], [567-645], [647-701], [703-734], [737-1120], [1122-1133]",99614256.8343
195390:2691,389,20275326.137,"[1-1], [4-27], [30-145], [147-183], [186-187], [190-208], [210-213], [215-400]",20151968.7498
195396:2692,78,11068379.8236,"[49-55], [58-63], [66-124], [126-131]",10539800.1863
195397:2692,1180,117946158.767,"[1-10], [12-33], [35-69], [71-89], [92-120], [123-141], [143-251], [253-253], [256-475], [478-525], [527-608], [611-632], [634-650], [652-776], [779-882], [884-900], [902-969], [972-1027], [1029-1121], [1123-1181], [1184-1198], [1200-1209]",116423220.253
195398:2692,1729,90145564.8574,"[3-87], [89-137], [139-167], [169-215], [217-223], [225-270], [272-464], [466-476], [478-482], [484-494], [497-514], [516-585], [587-817], [820-824], [827-834], [837-952], [955-1225], [1228-1307], [1309-1563], [1566-1578], [1581-1650], [1653-1681], [1684-1686], [1690-1692], [1696-1712], [1721-1736], [1741-1752], [1767-1795]",89354515.9284
195399:2692,381,13473945.3292,"[1-192], [194-382]",13349240.5696
195530:2698,399,47005334.9721,"[1-80], [82-104], [107-156], [159-300], [302-405]",46298098.313
195540:2700,246,32695704.6558,"[68-123], [126-137], [140-283], [286-319]",31942847.0696
195551:2701,16,2283440.50813,[91-106],1996613.75276
195552:2701,1749,155044768.983,"[1-21], [23-27], [30-147], [149-155], [158-182], [185-287], [290-349], [352-469], [472-764], [766-815], [818-823], [825-883], [885-886], [888-888], [890-951], [953-977], [979-1031], [1033-1045], [1047-1051], [1053-1061], [1063-1115], [1117-1124], [1126-1128], [1130-1152], [1154-1181], [1183-1224], [1226-1300], [1303-1312], [1314-1408], [1410-1448], [1450-1659], [1662-1789]",153177801.508
195633:2710,3,463221.592858,[40-42],334085.520762
195647:2710,41,5354564.52637,[1-41],5227552.96397
195649:2710,242,28905299.8566,"[1-69], [72-151], [154-181], [183-247]",28417206.4595
195655:2710,490,47209331.226,"[1-129], [131-184], [186-260], [263-350], [353-446], [448-483], [485-498]",46643761.4654
195656:2710,362,28909250.5302,[1-362],28683645.0128
195658:2710,382,24812102.3113,"[1-37], [40-362], [364-382], [384-386]",24531920.2406
195749:2711,128,17853465.0591,"[1-8], [10-33], [36-131]",17045909.224
195757:2711,201,25155257.9401,"[1-82], [85-115], [118-161], [163-206]",23901102.0188
195758:2711,18,2111511.40538,[1-18],2025709.8585
195774:2712,815,97332798.0698,"[1-13], [16-137], [139-151], [154-162], [164-256], [258-276], [279-362], [365-466], [469-618], [620-649], [651-830]",95473858.0324
195775:2712,166,14007339.0515,"[1-57], [60-100], [103-170]",13788857.066
195776:2712,469,34423343.55,"[1-63], [66-283], [286-337], [340-399], [401-409], [411-477]",34138938.9412
195841:2713,12,1723755.74352,[74-85],1575315.25279
195868:2714,202,26467562.3794,"[1-88], [90-107], [110-205]",25757888.1867
195915:2717,838,95839718.4225,"[1-109], [111-275], [278-390], [393-417], [419-429], [432-505], [507-747], [749-785], [787-828], [830-850]",94349502.3853
195916:2717,208,17992050.0863,"[1-16], [19-68], [71-212]",17838507.1627
195917:2717,4,329385.518618,[1-4],325652.115039
195918:2717,61,4926237.33351,"[1-44], [46-46], [49-64]",4870842.07352
195919:2717,15,1184129.71766,[1-15],1175101.57002
195923:2717,14,1091739.18475,[1-14],1083552.82525
195925:2717,12,926246.613586,[1-12],918250.279349
195926:2717,32,2437490.53291,"[1-1], [3-19], [21-34]",2420920.75761
195929:2717,29,2145991.26373,[1-29],2130567.20964
195930:2717,590,38335252.3761,"[1-77], [80-176], [179-526], [529-596]",37954530.1479
195937:2717,393,21308803.9104,"[1-28], [31-186], [188-396]",21166616.3394
195947:2718,65,9330349.95005,"[23-62], [64-88]",6518013.247
195948:2718,547,63754893.2191,"[51-116], [119-144], [147-147], [150-352], [355-369], [372-402], [404-500], [503-540], [543-565], [567-602], [605-615]",62452193.1167
195950:2718,1562,112427527.543,"[1-71], [73-138], [141-169], [172-332], [335-350], [353-382], [385-421], [424-450], [453-483], [485-616], [619-715], [718-787], [789-800], [803-829], [831-831], [833-1587]",111145212.919
195963:2719,5,687011.790203,[54-58],661682.189029
195970:2720,41,5952677.76589,"[44-49], [51-85]",2368288.36503
196019:2723,15,2206533.01498,[54-68],1907144.05579
196027:2723,181,22432503.1039,"[1-55], [58-119], [121-155], [158-186]",22038026.9469
196046:2724,29,4249581.42498,[12-40],3975197.67672
196047:2724,70,9768448.80378,"[1-64], [70-75]",9139745.99713
196048:2724,47,6206685.26059,"[1-44], [46-48]",5952304.83391
196197:2726,499,64453154.2597,"[58-122], [125-179], [181-311], [313-516], [519-562]",62890659.9547
196199:2726,524,51006987.3298,"[1-33], [36-83], [86-118], [121-147], [150-237], [239-285], [287-534]",50400466.9127
196200:2726,68,5749677.99984,[1-68],5700922.40666
196202:2726,104,8418374.66732,"[3-61], [64-108]",8331715.1105
196203:2726,113,8672055.49303,"[1-102], [107-117]",8615033.76438
196218:2728,757,91324846.9348,"[55-199], [201-224], [226-393], [396-494], [496-741], [744-752], [754-757], [759-820]",89754994.9201
196239:2728,1011,79437070.9841,"[1-59], [62-154], [157-272], [274-373], [375-432], [435-465], [468-647], [650-706], [709-1025]",78822815.4702
196249:2729,35,5191452.03532,"[63-77], [80-99]",4946263.65983
196250:2729,413,52887444.2591,"[1-2], [5-11], [13-76], [78-89], [91-149], [151-152], [154-193], [195-218], [220-225], [227-230], [232-265], [267-277], [279-426]",51803923.2872
196252:2729,35,3885360.71748,[1-35],3842748.34139
196334:2732,264,36757622.8123,"[59-99], [101-111], [113-123], [126-132], [135-167], [170-174], [176-193], [196-196], [198-257], [259-267], [270-289], [293-307], [309-337], [339-342]",35857157.7081
196349:2733,190,27226912.9513,"[65-84], [86-154], [157-244], [246-258]",26472205.454
196357:2733,4,451345.920267,[1-4],416038.537034
196359:2733,2,223090.174144,[1-2],186170.534381
196362:2733,88,9389321.82086,[1-88],9188078.87524
196363:2733,32,3259521.65438,"[1-8], [11-34]",3188572.57373
196364:2733,1283,97855218.6394,"[1-93], [96-136], [139-365], [368-380], [382-601], [603-795], [798-884], [887-1196], [1199-1200], [1203-1299]",96951888.0584
196437:2734,166,14476113.2464,"[1-1], [3-74], [77-169]",14356290.3247
196438:2734,1266,84428355.6307,"[1-181], [184-699], [701-1269]",83837595.5479
