Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
198049:2797,55,1746887.97474,"[1-11], [14-57]",1715502.05798
198050:2797,154,4680131.25718,[2-155],4610325.35011
198063:2797,289,7969354.2243,"[1-37], [40-72], [74-124], [127-294]",7883900.50589
198116:2798,73,5928717.47774,"[36-52], [54-55], [58-96], [98-112]",5722462.44763
198207:2805,96,6761815.91175,"[1-55], [57-97]",6676734.87372
198208:2805,204,12808009.4699,"[1-92], [94-134], [137-147], [150-209]",12626687.1389
198210:2805,221,12077137.6783,[1-221],11990022.8824
198212:2805,574,25502156.2134,[1-574],25222808.0268
198213:2805,107,4053906.06073,[1-107],3959510.84192
198215:2805,12,436716.288695,[1-12],430332.729355
198230:2806,1358,100270856.221,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",99381863.5592
198249:2806,7,359245.030891,[1-7],356304.294196
198269:2807,196,25487453.22,[3-198],25103200.2529
198271:2807,763,73427459.5289,"[1-91], [93-112], [114-126], [128-165], [167-170], [173-192], [194-226], [228-234], [236-293], [295-299], [301-340], [342-348], [350-377], [379-382], [384-389], [391-407], [409-450], [453-489], [491-505], [507-513], [516-587], [589-616], [619-628], [631-645], [647-704], [706-733], [735-737], [739-791], [794-797]",72628508.4818
198272:2807,603,41157558.0482,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-620]",40697345.8278
198346:2810,4,448381.884449,[44-47],390961.358443
198372:2812,52,6661890.36571,"[58-89], [91-110]",6505086.64669
198485:2816,167,21392213.6677,"[68-109], [112-134], [136-181], [184-239]",21098228.983
198487:2816,1585,128655870.156,"[1-145], [147-514], [517-638], [640-668], [671-675], [677-695], [697-733], [737-745], [747-757], [760-798], [800-802], [804-809], [811-814], [816-835], [837-852], [854-860], [862-994], [997-1434], [1437-1610]",127229210.694
198522:2819,142,18053989.6418,"[65-144], [147-208]",17702560.8633
198941:2840,173,21975151.2337,"[102-189], [191-215], [217-220], [222-241], [243-249], [252-268], [270-273], [276-279], [281-284]",21625671.8574
198954:2842,166,19969841.8018,"[108-131], [133-136], [138-156], [159-277]",19645603.0362
198955:2842,1519,119416147.15,"[1-45], [47-50], [53-220], [223-269], [271-284], [286-338], [340-580], [583-742], [744-910], [913-946], [949-1162], [1165-1169], [1172-1182], [1185-1188], [1190-1246], [1249-1304], [1306-1325], [1327-1452], [1454-1454], [1456-1467], [1470-1472], [1474-1474], [1476-1485], [1487-1552]",118109881.838
198969:2843,1177,110368734.871,"[58-81], [84-183], [185-214], [216-247], [249-257], [259-323], [325-365], [367-413], [416-466], [468-643], [646-918], [920-1011], [1013-1175], [1178-1236], [1239-1253]",109160327.881
199008:2847,558,62448099.4055,"[75-93], [95-121], [124-208], [211-331], [333-373], [376-482], [485-605], [608-644]",61368043.6564
199011:2847,22,2043609.92063,"[1-11], [13-16], [18-24]",2024977.54269
